Address,CaseNumber,CouncilDistrict,CrimeAgainst,CustomCrimeAgainst,CustomCrimeCategory,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseCount,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,ReportMonthYear
,26-X6148999,3,Person,Person,Sex Offenses,Montavilla,2/10/2026,1552,Sex Offenses,1,Fondling,,,,,2/10/2026,February 2026
,26-X6149021,4,Person,Person,Assault: Aggravated,Other,2/22/2026,2350,Assault Offenses,1,Aggravated Assault,,,,,2/23/2026,February 2026
,26-X6149032,3,Person,Person,Assault: Simple/Intimidation,Mt Tabor,2/23/2026,240,Assault Offenses,1,Simple Assault,,,,,2/23/2026,February 2026
,26-X6149157,1,Person,Person,Assault: Simple/Intimidation,Argay,2/23/2026,1607,Assault Offenses,1,Simple Assault,,,,,2/23/2026,February 2026
,26-X6149172,,Person,Person,Sex Offenses,Other,2/23/2026,159,Sex Offenses,1,Rape,,,,,2/23/2026,February 2026
,26-X6149200,2,Person,Person,Assault: Aggravated,Concordia,2/23/2026,1045,Assault Offenses,1,Aggravated Assault,,,,,2/23/2026,February 2026
,26-X6149201,1,Person,Person,Assault: Simple/Intimidation,Hazelwood,2/19/2026,2306,Assault Offenses,1,Simple Assault,,,,,2/19/2026,February 2026
,26-X6149202,3,Person,Person,Assault: Simple/Intimidation,Kerns,2/22/2026,2019,Assault Offenses,1,Simple Assault,,,,,2/22/2026,February 2026
,26-X6149203,2,Person,Person,Assault: Simple/Intimidation,Eliot,2/22/2026,1908,Assault Offenses,1,Simple Assault,,,,,2/22/2026,February 2026
,26-X6149203,2,Property,Property,Vandalism,Eliot,2/22/2026,1908,Vandalism,1,Vandalism,,,,,2/22/2026,February 2026
,26-X6149204,2,Person,Person,Assault: Simple/Intimidation,Portsmouth,2/22/2026,1700,Assault Offenses,1,Simple Assault,,,,,2/22/2026,February 2026
,26-X6149211,2,Person,Person,Assault: Aggravated,Humboldt,2/23/2026,2339,Assault Offenses,1,Aggravated Assault,,,,,2/24/2026,February 2026
,26-X6149211,2,Person,Person,Sex Offenses,Humboldt,2/23/2026,2339,Sex Offenses,1,Rape,,,,,2/24/2026,February 2026
,26-X6149284,4,Person,Person,Assault: Aggravated,Downtown,2/24/2026,343,Assault Offenses,1,Aggravated Assault,,,,,2/24/2026,February 2026
,26-X6149286,4,Property,Property,Fraud,Sellwood-Moreland,12/10/2025,1700,Fraud Offenses,1,Credit Card/ATM Fraud,,,,,2/12/2026,February 2026
,26-X6149286,4,Property,Property,Larceny: Other,Sellwood-Moreland,12/10/2025,1700,Larceny Offenses,1,All Other Larceny,,,,,2/12/2026,February 2026
